,City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
109105,Delhi,2017-06-28 05:00:00,106.5,550.2,28.6,17.1,198.8,12.5,8.94,37.2,16.8,19.19,10.39,7.34,10.5,Severe
109110,Delhi,2017-06-28 06:00:00,469.0,529.6,171.9,72.1,6.7,20.3,4.49,18.3,20.8,6.47,29.2,7.91,460.3,Satisfactory
109115,Delhi,2017-06-28 07:00:00,132.8,418.2,139.4,21.1,197.8,40.6,3.45,46.9,21.1,3.83,21.21,7.06,109.9,Satisfactory
109120,Delhi,2017-06-28 08:00:00,333.9,300.6,26.1,113.5,110.8,1.1,7.84,48.3,147.8,2.82,23.67,1.12,106.0,Good
109125,Delhi,2017-06-28 09:00:00,5.9,56.2,129.3,61.1,173.3,35.8,8.91,99.0,12.6,6.18,26.59,8.36,493.0,Severe
109130,Delhi,2017-06-28 10:00:00,164.3,528.1,58.9,29.7,101.8,39.6,6.68,84.9,197.3,2.44,6.49,6.92,422.1,Very Poor
109135,Delhi,2017-06-28 11:00:00,261.2,163.6,101.5,19.6,204.8,4.3,9.55,45.0,176.2,6.9,4.79,5.57,42.4,Good
109140,Delhi,2017-06-28 12:00:00,459.8,461.5,95.5,122.7,37.3,35.9,6.97,13.9,25.7,6.35,26.68,7.38,135.9,Severe
109145,Delhi,2017-06-28 13:00:00,0.5,138.0,123.6,43.2,142.1,7.7,4.19,55.5,186.0,1.64,8.51,9.54,481.2,Very Poor
109150,Delhi,2017-06-28 14:00:00,151.5,280.2,137.4,81.9,103.6,36.5,6.87,14.3,4.0,3.96,9.29,9.78,441.0,Severe
109155,Delhi,2017-06-28 15:00:00,328.3,475.0,44.7,146.7,126.3,6.0,2.14,9.7,127.5,13.27,20.94,7.92,448.2,Very Poor
109160,Delhi,2017-06-28 16:00:00,77.7,560.3,162.4,108.4,162.6,12.3,8.79,63.0,30.3,0.63,11.17,1.74,403.9,Very Poor
109165,Delhi,2017-06-28 17:00:00,226.3,152.5,171.6,53.1,29.8,44.4,7.36,93.3,29.5,19.23,5.32,2.11,180.9,Good
109170,Delhi,2017-06-28 18:00:00,242.8,343.9,101.3,91.3,184.2,12.8,3.63,78.3,100.1,5.11,16.21,0.06,10.2,Good
109175,Delhi,2017-06-28 19:00:00,363.3,495.7,132.1,88.9,210.8,24.5,6.31,79.6,40.1,12.45,21.84,3.75,470.0,Good
109180,Delhi,2017-06-28 20:00:00,23.0,418.0,31.9,36.2,224.2,4.0,3.92,73.7,1.9,3.89,15.42,9.61,67.1,Very Poor
109185,Delhi,2017-06-28 21:00:00,54.0,598.6,112.1,51.6,129.8,20.4,1.34,61.4,86.0,9.14,2.85,1.98,312.6,Moderate
109190,Delhi,2017-06-28 22:00:00,120.2,294.4,90.1,90.4,214.4,13.2,1.99,32.3,28.8,4.21,18.35,8.66,333.2,Moderate
109195,Delhi,2017-06-28 23:00:00,73.2,133.0,173.6,92.9,136.4,16.8,0.05,99.4,173.8,15.65,13.62,9.6,153.0,Good
109200,Delhi,2017-06-29 00:00:00,412.7,7.6,141.7,126.3,24.3,14.8,1.46,10.7,12.9,1.19,6.4,7.95,261.6,Satisfactory
109205,Delhi,2017-06-29 01:00:00,148.4,265.7,198.1,7.4,120.8,49.2,2.97,89.9,173.7,9.49,3.2,7.76,27.1,Satisfactory
109210,Delhi,2017-06-29 02:00:00,397.7,519.7,170.5,107.9,165.9,16.2,4.75,37.8,125.6,19.44,28.8,1.62,397.6,Satisfactory
109215,Delhi,2017-06-29 03:00:00,260.0,595.8,196.0,91.0,46.0,14.8,9.96,13.7,106.7,0.41,13.41,0.74,393.9,Satisfactory
109220,Delhi,2017-06-29 04:00:00,493.4,535.5,71.3,134.8,47.5,15.4,3.2,55.6,97.6,19.18,2.36,9.35,87.6,Poor
109225,Delhi,2017-06-29 05:00:00,98.1,118.1,53.0,26.6,148.1,0.9,9.91,84.4,50.4,16.87,14.57,0.17,376.7,Satisfactory
109230,Delhi,2017-06-29 06:00:00,215.0,151.4,103.1,31.3,206.8,3.7,3.47,86.8,31.3,5.14,11.55,7.27,207.7,Satisfactory
109235,Delhi,2017-06-29 07:00:00,48.7,207.5,63.4,39.6,31.2,9.1,4.4,8.3,179.7,16.1,15.75,6.4,36.8,Poor
109240,Delhi,2017-06-29 08:00:00,482.5,233.6,149.3,3.9,232.2,44.0,8.27,89.5,56.0,11.79,28.65,8.66,198.1,Good
109245,Delhi,2017-06-29 09:00:00,258.3,8.6,65.4,146.8,191.6,15.8,6.14,11.6,20.5,5.55,8.04,8.6,39.0,Very Poor
109250,Delhi,2017-06-29 10:00:00,399.9,369.6,48.1,23.1,183.5,4.4,0.58,97.7,34.2,18.53,3.38,6.98,377.8,Satisfactory
109255,Delhi,2017-06-29 11:00:00,139.5,240.3,52.0,79.1,119.9,2.0,5.38,94.0,127.4,18.94,23.63,3.38,386.2,Moderate
109260,Delhi,2017-06-29 12:00:00,484.2,360.7,62.6,131.6,241.5,6.1,7.5,47.6,125.8,18.55,3.24,6.68,414.2,Good
109265,Delhi,2017-06-29 13:00:00,162.2,437.1,188.9,2.5,148.5,2.0,5.5,84.2,96.0,3.41,21.83,4.85,288.1,Poor
109270,Delhi,2017-06-29 14:00:00,461.5,213.3,131.4,18.0,49.9,29.1,0.88,76.3,32.0,13.24,25.21,7.47,70.8,Severe
109275,Delhi,2017-06-29 15:00:00,133.5,144.7,184.7,146.5,176.6,18.9,7.94,35.6,35.2,7.4,16.24,6.97,438.5,Satisfactory
109280,Delhi,2017-06-29 16:00:00,162.9,353.3,66.6,12.6,194.6,45.5,6.92,51.9,23.6,5.1,3.22,2.0,411.3,Satisfactory
109285,Delhi,2017-06-29 17:00:00,97.0,78.0,52.2,81.3,61.7,10.3,6.95,61.1,55.3,9.48,16.12,8.53,247.3,Poor
109290,Delhi,2017-06-29 18:00:00,375.1,429.5,150.8,144.1,9.6,46.5,2.34,97.9,52.1,4.78,25.22,6.59,165.5,Poor
109295,Delhi,2017-06-29 19:00:00,369.2,483.8,127.1,81.9,119.3,28.6,6.38,64.4,12.3,15.91,24.79,3.15,44.3,Poor
109300,Delhi,2017-06-29 20:00:00,311.1,396.1,165.6,61.1,44.2,7.1,1.54,1.3,9.3,19.54,28.21,4.1,297.1,Poor
109305,Delhi,2017-06-29 21:00:00,316.9,276.4,157.5,120.7,197.8,31.0,7.07,81.8,150.4,4.57,26.71,4.54,182.2,Very Poor
109310,Delhi,2017-06-29 22:00:00,59.8,211.6,188.5,24.4,172.4,25.5,5.27,55.3,50.6,10.38,24.16,0.06,373.8,Satisfactory
109315,Delhi,2017-06-29 23:00:00,191.3,326.5,14.0,42.3,40.5,10.4,9.22,16.8,82.1,2.67,8.51,7.91,344.4,Moderate
109320,Delhi,2017-06-30 00:00:00,446.4,206.5,76.3,9.4,87.1,11.3,2.14,52.0,155.1,19.99,3.33,7.46,370.7,Satisfactory
109325,Delhi,2017-06-30 01:00:00,70.5,138.8,127.4,121.7,96.7,7.0,5.78,92.0,58.5,14.31,2.55,7.82,390.6,Good
109330,Delhi,2017-06-30 02:00:00,38.2,166.2,55.1,76.4,80.7,16.6,3.48,5.5,166.5,18.22,10.6,7.72,43.9,Moderate
109335,Delhi,2017-06-30 03:00:00,277.1,342.8,163.9,30.2,144.2,40.9,7.08,31.3,6.8,4.6,23.14,2.06,104.4,Severe
109340,Delhi,2017-06-30 04:00:00,349.8,533.7,156.7,16.8,52.8,16.8,9.83,59.2,132.2,13.14,26.32,3.61,58.5,Very Poor
109345,Delhi,2017-06-30 05:00:00,400.5,99.1,115.4,3.4,78.0,5.6,7.55,7.0,88.4,17.17,20.63,4.15,402.5,Good
109350,Delhi,2017-06-30 06:00:00,478.8,222.2,55.1,41.7,46.5,35.1,3.51,43.4,1.4,19.04,8.62,2.37,420.4,Good
109355,Delhi,2017-06-30 07:00:00,498.2,586.1,39.9,48.7,62.9,16.1,6.32,46.5,167.2,16.8,23.84,2.28,152.4,Severe
109360,Delhi,2017-06-30 08:00:00,225.2,376.1,77.4,62.1,222.1,29.3,0.68,36.0,15.8,17.24,28.84,2.1,13.9,Severe
109365,Delhi,2017-06-30 09:00:00,451.7,132.7,85.6,141.6,111.9,47.8,8.3,89.0,175.1,14.02,16.33,7.01,201.1,Moderate
109370,Delhi,2017-06-30 10:00:00,340.2,479.8,74.1,148.6,231.5,8.5,2.56,53.6,165.1,16.84,2.91,8.29,82.4,Poor
109375,Delhi,2017-06-30 11:00:00,367.4,25.1,134.2,110.8,56.4,24.4,7.72,33.7,80.4,6.83,2.51,1.72,134.8,Severe
109380,Delhi,2017-06-30 12:00:00,313.4,507.3,25.8,87.9,108.8,29.1,9.45,76.8,142.3,15.75,15.65,6.31,267.6,Severe
109385,Delhi,2017-06-30 13:00:00,215.1,381.9,133.4,75.2,100.1,24.1,7.12,53.1,27.1,1.16,0.11,3.91,249.5,Poor
109390,Delhi,2017-06-30 14:00:00,313.4,188.2,91.2,42.5,247.4,29.6,5.09,15.2,116.1,8.7,13.62,3.67,112.5,Poor
109395,Delhi,2017-06-30 15:00:00,55.7,537.0,81.3,126.9,154.8,10.9,3.82,30.2,95.1,6.01,3.03,9.06,353.0,Very Poor
109400,Delhi,2017-06-30 16:00:00,270.0,225.0,154.4,51.2,113.5,27.2,9.75,11.5,54.2,8.66,26.73,2.78,268.9,Severe
109405,Delhi,2017-06-30 17:00:00,134.5,299.8,16.7,149.7,146.8,17.6,3.25,32.3,147.9,10.19,13.5,1.09,281.7,Satisfactory
109410,Delhi,2017-06-30 18:00:00,92.8,25.5,179.7,135.6,51.9,3.4,3.45,60.0,98.8,8.72,1.93,9.15,356.9,Good
109415,Delhi,2017-06-30 19:00:00,311.7,175.5,23.6,46.6,133.0,37.0,5.63,44.6,193.8,9.94,0.96,3.14,255.0,Moderate
109420,Delhi,2017-06-30 20:00:00,285.2,142.5,0.9,112.3,36.2,29.6,5.5,14.6,94.1,19.15,7.03,1.47,373.8,Good
109425,Delhi,2017-06-30 21:00:00,213.6,474.7,185.4,94.0,85.1,43.2,2.94,91.8,23.6,14.68,24.88,4.76,454.6,Very Poor
109430,Delhi,2017-06-30 22:00:00,278.8,342.8,110.9,48.4,142.4,25.9,2.03,53.0,58.0,16.76,11.56,0.85,149.5,Very Poor
109435,Delhi,2017-06-30 23:00:00,304.3,252.8,145.7,93.9,99.7,24.4,1.99,43.4,1.4,6.82,10.64,1.72,316.4,Severe
109440,Delhi,2017-07-01 00:00:00,277.1,59.0,21.6,11.5,247.9,44.9,8.87,14.9,199.9,15.42,13.5,3.11,74.1,Good
109445,Delhi,2017-07-01 01:00:00,381.9,293.8,80.2,113.8,91.6,0.9,1.68,18.7,28.9,10.0,15.49,6.21,9.4,Moderate
109450,Delhi,2017-07-01 02:00:00,235.4,533.0,173.2,0.0,4.2,48.7,3.06,62.7,21.6,7.9,12.44,8.1,18.9,Moderate
109455,Delhi,2017-07-01 03:00:00,309.5,40.8,164.8,24.7,167.1,45.8,4.1,51.8,171.4,17.73,11.06,6.62,440.2,Severe
109460,Delhi,2017-07-01 04:00:00,70.0,222.7,93.7,68.8,6.7,24.8,5.38,32.9,100.1,10.38,4.67,7.48,317.4,Poor
109465,Delhi,2017-07-01 05:00:00,73.0,21.2,68.3,46.0,137.5,32.3,5.0,92.3,182.3,3.13,26.39,2.69,130.9,Moderate
109470,Delhi,2017-07-01 06:00:00,110.3,9.1,146.1,143.2,54.5,9.5,9.17,42.9,62.1,15.58,19.71,3.16,266.0,Very Poor
109475,Delhi,2017-07-01 07:00:00,137.8,138.5,72.9,76.0,187.5,38.2,5.39,50.8,5.2,9.39,20.25,1.48,184.4,Poor
109480,Delhi,2017-07-01 08:00:00,123.6,560.2,151.7,67.2,159.4,21.7,1.43,69.9,75.2,11.81,13.7,0.32,430.5,Poor
109485,Delhi,2017-07-01 09:00:00,452.0,168.6,126.7,32.8,92.0,23.7,6.27,88.1,25.2,6.84,7.6,6.39,425.4,Very Poor
109490,Delhi,2017-07-01 10:00:00,91.8,178.8,73.9,88.6,6.0,32.9,7.53,64.4,89.0,2.36,28.31,9.53,135.9,Good
109495,Delhi,2017-07-01 11:00:00,444.2,203.2,8.1,32.5,121.3,25.6,9.63,39.7,90.1,1.06,13.32,4.14,189.0,Severe
109500,Delhi,2017-07-01 12:00:00,125.8,487.9,121.7,9.3,178.1,33.0,6.9,93.8,156.1,11.65,16.65,4.66,243.1,Satisfactory
109505,Delhi,2017-07-01 13:00:00,385.5,5.7,58.7,114.1,98.7,34.0,0.96,80.1,173.6,8.41,26.19,4.96,250.2,Severe
109510,Delhi,2017-07-01 14:00:00,461.7,542.6,26.0,75.2,36.8,38.3,9.31,21.9,162.6,0.59,1.68,6.75,441.6,Poor
109515,Delhi,2017-07-01 15:00:00,310.6,443.0,55.5,40.2,169.6,8.5,1.91,40.8,26.5,14.82,19.22,8.05,188.9,Poor
109520,Delhi,2017-07-01 16:00:00,342.4,440.2,4.6,30.2,36.5,23.6,5.43,2.2,92.0,12.61,8.96,4.31,342.5,Very Poor
109525,Delhi,2017-07-01 17:00:00,352.4,104.5,19.3,13.0,99.0,20.0,4.48,49.7,167.5,18.77,3.79,8.15,284.0,Poor
109530,Delhi,2017-07-01 18:00:00,136.9,336.9,94.9,108.1,25.3,16.9,7.94,65.4,142.5,11.05,18.31,8.05,145.6,Moderate
109535,Delhi,2017-07-01 19:00:00,400.0,360.0,166.7,129.4,80.8,46.4,2.75,39.2,54.2,2.37,22.26,4.99,9.0,Good
109540,Delhi,2017-07-01 20:00:00,99.6,24.1,93.3,127.3,94.7,35.8,3.22,13.6,165.4,13.7,16.64,1.15,444.7,Poor
109545,Delhi,2017-07-01 21:00:00,472.8,512.1,191.4,76.7,56.1,25.4,3.06,8.5,191.5,3.3,19.01,1.61,479.1,Poor
109550,Delhi,2017-07-01 22:00:00,10.3,532.8,157.4,5.3,180.9,44.0,3.0,82.5,187.8,12.25,19.91,1.9,316.3,Satisfactory
109555,Delhi,2017-07-01 23:00:00,366.6,11.9,148.7,57.1,186.2,30.5,9.77,75.7,173.2,9.75,29.8,4.18,76.2,Poor
109560,Delhi,2017-07-02 00:00:00,483.8,521.3,49.6,114.1,215.7,1.7,0.72,10.1,12.0,0.4,18.96,9.34,394.1,Good
109565,Delhi,2017-07-02 01:00:00,252.0,238.6,124.7,121.8,30.4,29.2,1.53,2.8,127.1,4.11,16.94,0.04,221.9,Satisfactory
109570,Delhi,2017-07-02 02:00:00,237.1,256.2,20.3,102.9,132.3,42.5,0.87,61.5,41.5,16.31,21.6,5.59,101.7,Good
109575,Delhi,2017-07-02 03:00:00,100.7,64.3,0.6,88.3,197.8,35.9,7.29,4.5,136.5,6.81,6.45,6.77,474.7,Very Poor
109580,Delhi,2017-07-02 04:00:00,460.1,341.5,3.7,25.5,220.6,37.5,6.2,61.2,69.7,0.19,4.19,1.76,120.7,Severe
109585,Delhi,2017-07-02 05:00:00,405.5,562.1,31.2,21.5,206.7,13.9,9.87,75.4,70.6,1.4,18.2,9.12,327.3,Moderate
109590,Delhi,2017-07-02 06:00:00,85.0,545.0,165.7,31.6,7.0,28.9,4.95,86.3,65.1,10.43,23.51,5.87,169.4,Satisfactory
109595,Delhi,2017-07-02 07:00:00,350.7,135.8,131.1,123.8,209.0,31.9,5.34,4.8,77.0,15.81,24.95,4.86,481.5,Very Poor
109600,Delhi,2017-07-02 08:00:00,96.5,444.2,14.8,128.5,13.6,17.4,0.42,55.0,100.9,3.57,1.48,0.6,343.9,Satisfactory
109605,Delhi,2017-07-02 09:00:00,82.9,89.2,83.2,43.0,179.5,4.0,9.42,38.3,180.5,9.32,27.77,2.68,151.7,Poor
109610,Delhi,2017-07-02 10:00:00,130.4,535.7,111.3,101.0,187.4,35.5,4.6,91.8,182.3,2.27,28.26,6.09,299.8,Good
109615,Delhi,2017-07-02 11:00:00,371.2,339.0,45.8,86.1,189.7,36.3,4.71,37.2,153.5,10.49,29.78,1.12,413.8,Good
109620,Delhi,2017-07-02 12:00:00,334.3,343.5,18.8,142.6,57.4,37.6,7.77,40.3,168.9,2.31,20.39,4.99,19.2,Poor
109625,Delhi,2017-07-02 13:00:00,350.9,245.8,180.9,35.1,147.7,40.9,8.55,92.1,181.0,0.04,11.55,8.88,137.1,Satisfactory
109630,Delhi,2017-07-02 14:00:00,237.7,361.0,78.4,105.8,238.7,39.9,0.01,40.2,46.8,9.78,6.37,0.35,286.3,Severe
109635,Delhi,2017-07-02 15:00:00,456.5,514.0,15.3,61.7,104.0,39.1,2.27,82.5,36.3,11.53,2.6,1.66,330.3,Severe
109640,Delhi,2017-07-02 16:00:00,275.5,63.7,64.9,138.3,69.1,41.9,4.33,16.9,11.8,4.13,28.18,6.49,401.7,Poor
109645,Delhi,2017-07-02 17:00:00,439.4,367.2,100.9,15.8,191.2,0.2,4.94,88.9,49.5,14.3,23.01,3.52,405.4,Moderate
109650,Delhi,2017-07-02 18:00:00,398.7,524.3,167.2,43.8,3.1,18.0,7.19,76.0,193.4,19.36,6.73,3.2,329.9,Good
109655,Delhi,2017-07-02 19:00:00,79.3,278.8,126.6,126.2,30.7,1.3,1.39,30.7,124.4,1.32,20.2,8.43,236.1,Good
109660,Delhi,2017-07-02 20:00:00,79.6,286.3,180.9,98.7,74.8,41.3,2.6,45.2,109.6,17.24,27.9,4.11,316.9,Satisfactory
109665,Delhi,2017-07-02 21:00:00,321.9,140.8,165.2,27.0,26.5,22.8,2.37,29.1,56.2,17.62,5.04,0.24,295.1,Poor
109670,Delhi,2017-07-02 22:00:00,498.6,366.8,73.8,96.3,150.4,48.9,5.31,22.4,194.2,8.76,3.48,7.89,37.6,Severe
109675,Delhi,2017-07-02 23:00:00,205.9,217.3,130.9,140.5,223.5,34.8,7.17,38.2,118.4,14.61,11.16,4.94,436.9,Moderate
109680,Delhi,2017-07-03 00:00:00,420.8,144.6,101.4,32.8,2.0,17.0,7.97,20.7,151.3,12.46,5.29,9.13,233.9,Satisfactory
109685,Delhi,2017-07-03 01:00:00,458.0,1.3,170.3,54.8,52.5,48.2,5.55,73.4,142.2,8.06,8.19,4.26,370.3,Good
109690,Delhi,2017-07-03 02:00:00,389.2,221.5,24.5,37.4,217.9,23.9,1.68,39.6,15.2,8.9,25.61,3.3,247.7,Moderate
109695,Delhi,2017-07-03 03:00:00,460.5,115.7,43.8,116.7,23.8,12.4,7.44,13.8,92.3,17.47,6.94,1.71,10.7,Severe
109700,Delhi,2017-07-03 04:00:00,447.7,447.1,55.5,84.3,179.4,20.6,3.39,36.4,148.0,3.78,9.96,6.3,441.5,Good
109705,Delhi,2017-07-03 05:00:00,78.7,370.6,29.4,75.1,122.9,41.0,2.91,83.0,102.8,16.01,17.39,6.9,350.3,Good
109710,Delhi,2017-07-03 06:00:00,10.8,136.5,158.1,102.2,145.6,35.4,6.09,75.6,92.1,4.54,8.47,8.19,223.3,Satisfactory
109715,Delhi,2017-07-03 07:00:00,4.5,208.6,16.9,36.4,147.3,22.5,4.62,83.1,59.7,8.43,9.5,2.59,318.0,Severe
109720,Delhi,2017-07-03 08:00:00,363.6,174.9,193.4,13.4,144.8,47.6,1.63,77.3,29.5,5.26,21.56,5.24,124.4,Good
109725,Delhi,2017-07-03 09:00:00,482.3,335.8,136.3,44.3,64.8,30.9,8.68,90.0,12.5,13.42,24.2,3.97,489.2,Severe
109730,Delhi,2017-07-03 10:00:00,319.7,381.2,139.1,116.2,227.4,35.5,7.17,43.6,178.5,7.72,3.63,2.04,209.0,Satisfactory
109735,Delhi,2017-07-03 11:00:00,104.8,172.0,108.8,107.4,100.0,40.8,3.68,26.7,66.9,14.52,23.66,9.45,37.9,Poor
109740,Delhi,2017-07-03 12:00:00,58.8,416.3,115.7,81.4,141.1,18.4,9.33,85.5,170.5,7.3,9.72,1.58,311.8,Satisfactory
109745,Delhi,2017-07-03 13:00:00,129.0,541.7,142.4,48.8,78.4,26.5,4.76,88.3,156.7,18.51,17.3,6.9,33.2,Moderate
109750,Delhi,2017-07-03 14:00:00,300.6,87.8,106.6,52.4,106.4,21.3,9.95,37.1,37.1,6.4,1.51,4.88,182.2,Satisfactory
109755,Delhi,2017-07-03 15:00:00,312.5,577.0,70.6,50.6,128.1,41.5,0.79,9.7,27.3,9.32,21.84,5.61,389.4,Moderate
109760,Delhi,2017-07-03 16:00:00,490.6,245.5,177.6,17.2,224.1,38.5,8.8,27.5,84.6,15.46,8.84,9.91,381.0,Poor
109765,Delhi,2017-07-03 17:00:00,27.6,216.7,9.6,136.7,212.9,28.7,8.37,84.7,147.1,7.93,20.1,3.76,28.8,Poor
109770,Delhi,2017-07-03 18:00:00,85.7,249.1,189.9,82.8,183.5,43.7,2.91,74.2,88.9,15.02,8.8,0.79,402.3,Severe
109775,Delhi,2017-07-03 19:00:00,211.3,196.6,125.7,13.4,37.6,42.9,6.25,64.4,184.0,14.63,3.02,7.82,117.0,Moderate
109780,Delhi,2017-07-03 20:00:00,263.4,141.3,180.3,23.4,189.4,43.3,6.9,68.2,1.9,12.61,3.69,2.84,269.6,Poor
109785,Delhi,2017-07-03 21:00:00,172.7,147.9,123.8,35.9,40.7,16.2,6.75,50.4,128.0,18.44,19.9,3.13,135.8,Satisfactory
109790,Delhi,2017-07-03 22:00:00,438.4,346.6,192.7,138.5,79.3,8.3,4.98,19.9,193.3,3.66,3.19,2.6,32.7,Very Poor
109795,Delhi,2017-07-03 23:00:00,241.7,306.3,155.8,58.5,142.8,33.8,5.62,56.4,48.5,2.3,24.37,4.93,314.8,Good
109800,Delhi,2017-07-04 00:00:00,48.9,175.3,39.2,141.7,171.2,20.8,5.49,56.1,50.9,19.82,19.88,6.12,291.0,Good
109805,Delhi,2017-07-04 01:00:00,463.9,571.2,172.2,57.2,111.1,45.6,3.1,78.7,94.0,3.76,27.24,3.9,40.4,Severe
109810,Delhi,2017-07-04 02:00:00,159.7,335.3,37.3,0.9,174.6,20.1,4.12,40.9,164.4,12.48,22.22,3.71,454.0,Severe
109815,Delhi,2017-07-04 03:00:00,130.8,120.5,93.9,62.1,229.8,20.7,0.96,35.2,95.0,4.28,3.12,9.59,148.1,Poor
109820,Delhi,2017-07-04 04:00:00,160.5,122.7,141.5,23.5,5.7,28.4,5.95,66.1,120.0,5.95,22.83,3.16,110.0,Good
109825,Delhi,2017-07-04 05:00:00,134.6,93.4,186.7,123.3,137.2,37.6,0.38,72.1,198.4,14.35,11.31,8.59,60.4,Moderate
109830,Delhi,2017-07-04 06:00:00,106.4,411.2,165.6,130.0,216.8,28.3,5.57,70.1,30.0,8.28,0.19,2.03,238.6,Very Poor
109835,Delhi,2017-07-04 07:00:00,100.5,449.2,31.3,32.1,63.4,15.8,8.89,73.1,47.3,7.03,24.51,6.5,411.9,Poor
109840,Delhi,2017-07-04 08:00:00,212.4,237.1,173.5,5.2,199.4,36.0,5.83,51.7,38.2,12.2,28.73,0.99,483.7,Satisfactory
109845,Delhi,2017-07-04 09:00:00,18.6,131.5,143.3,117.7,121.0,18.3,6.33,39.2,3.7,0.73,1.94,3.86,182.8,Very Poor
109850,Delhi,2017-07-04 10:00:00,433.0,471.7,166.7,24.8,101.9,12.5,5.54,65.1,21.4,15.06,24.87,5.82,450.4,Very Poor
109855,Delhi,2017-07-04 11:00:00,236.9,7.2,134.9,42.8,243.1,43.5,4.5,76.7,188.8,14.35,4.44,6.79,64.2,Good
109860,Delhi,2017-07-04 12:00:00,116.4,41.7,11.0,65.8,221.7,17.7,5.94,65.8,164.5,10.01,7.23,3.72,54.4,Severe
109865,Delhi,2017-07-04 13:00:00,430.0,422.0,166.9,104.4,67.3,45.6,0.18,80.1,142.1,9.33,27.68,6.23,136.3,Satisfactory
109870,Delhi,2017-07-04 14:00:00,378.2,335.7,2.7,92.4,113.9,39.1,0.04,55.1,117.2,13.62,1.97,2.21,5.1,Very Poor
109875,Delhi,2017-07-04 15:00:00,82.9,340.7,89.6,78.1,87.4,47.6,1.06,86.3,116.7,11.91,20.56,7.81,467.9,Good
109880,Delhi,2017-07-04 16:00:00,307.6,136.8,151.5,118.9,202.6,40.7,6.73,97.2,106.3,13.7,25.28,3.31,276.7,Severe
109885,Delhi,2017-07-04 17:00:00,492.6,252.7,86.4,41.8,90.1,31.2,3.7,66.2,3.7,7.52,23.93,7.61,360.2,Severe
109890,Delhi,2017-07-04 18:00:00,58.0,493.1,192.8,18.8,218.3,8.7,2.58,84.6,4.6,9.79,2.07,0.58,53.3,Very Poor
109895,Delhi,2017-07-04 19:00:00,373.0,216.4,106.9,99.6,235.6,10.4,6.95,17.5,115.8,10.75,0.09,0.35,477.8,Good
109900,Delhi,2017-07-04 20:00:00,200.3,461.6,28.7,121.9,47.2,15.6,0.46,64.5,12.0,18.14,29.48,2.42,466.6,Good
109905,Delhi,2017-07-04 21:00:00,26.9,432.7,92.0,112.4,111.9,20.6,4.98,61.1,121.0,6.02,5.13,8.94,381.9,Moderate
109910,Delhi,2017-07-04 22:00:00,359.0,118.7,187.8,5.9,202.5,42.4,4.22,28.2,103.7,14.04,11.45,7.28,266.8,Good
109915,Delhi,2017-07-04 23:00:00,35.9,552.0,182.4,99.7,185.9,32.0,2.07,77.0,173.9,7.4,19.68,5.87,84.5,Moderate
109920,Delhi,2017-07-05 00:00:00,429.4,122.8,1.2,9.9,70.8,15.3,6.89,84.8,118.9,12.83,23.02,0.66,224.9,Poor
109925,Delhi,2017-07-05 01:00:00,261.2,181.9,81.0,86.1,128.0,20.1,7.5,49.5,55.5,9.6,19.54,5.28,244.0,Severe
109930,Delhi,2017-07-05 02:00:00,356.7,490.4,104.3,22.8,20.5,25.5,2.03,6.2,169.4,16.72,16.49,8.77,141.4,Very Poor
109935,Delhi,2017-07-05 03:00:00,248.8,404.0,107.8,141.2,7.7,8.2,8.53,17.6,148.9,0.79,9.73,0.76,10.4,Severe
109940,Delhi,2017-07-05 04:00:00,437.8,240.2,147.4,104.5,163.8,21.4,8.15,53.4,72.2,12.61,5.66,3.97,361.2,Good
109945,Delhi,2017-07-05 05:00:00,331.4,76.8,27.9,10.9,135.4,16.0,4.75,32.5,121.2,8.08,16.79,9.13,443.3,Poor
109950,Delhi,2017-07-05 06:00:00,66.0,579.9,14.3,90.5,80.1,16.0,0.39,84.4,157.4,13.2,28.19,7.82,18.0,Satisfactory
109955,Delhi,2017-07-05 07:00:00,186.7,273.6,142.6,110.1,230.5,6.6,2.09,53.8,5.4,12.08,0.38,7.05,297.4,Severe
109960,Delhi,2017-07-05 08:00:00,248.6,567.0,11.1,46.0,138.1,25.7,9.73,74.4,176.2,5.9,4.38,2.07,190.2,Poor
109965,Delhi,2017-07-05 09:00:00,29.1,574.8,71.7,1.2,218.8,15.4,2.74,95.9,25.5,10.66,6.7,2.72,363.8,Poor
109970,Delhi,2017-07-05 10:00:00,327.2,548.0,78.0,37.9,127.6,32.4,4.76,27.2,91.9,2.52,21.68,6.31,46.4,Good
109975,Delhi,2017-07-05 11:00:00,10.7,213.3,155.0,142.1,161.4,11.4,6.56,55.6,115.9,14.69,10.03,0.3,164.5,Good
109980,Delhi,2017-07-05 12:00:00,224.5,119.1,165.2,113.7,94.8,18.5,6.26,58.6,42.5,9.83,11.57,8.11,351.5,Satisfactory
109985,Delhi,2017-07-05 13:00:00,82.4,239.3,0.1,92.4,113.0,2.5,5.39,67.2,83.1,10.46,4.65,3.35,191.2,Severe
109990,Delhi,2017-07-05 14:00:00,70.3,65.3,148.6,120.9,153.1,0.8,8.32,40.8,97.0,4.86,9.34,7.9,181.3,Good
109995,Delhi,2017-07-05 15:00:00,99.7,76.0,126.8,129.2,144.2,46.1,5.2,27.6,110.2,9.35,11.96,4.08,349.1,Poor
